Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/19/2021
Graph title  : Title
Points       : 300
Pen legend   : 10:58:30 AM
Resonance    : F1:2.61854469e+005 F2:2.12695891e+005 Fr:2.33288281e+005 Zr:1.44282303e+002 Q:4.74562711e+000
Capacitance  : 3.68167598e-009 F at 2.42446055e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.70340309e+001, 1.75333916e-002, -8.72935791e+001, 2.69305522e+000, -5.69704146e+001, 8.27898556e-004, 1.75138347e-002
9.77161875e+005, 5.89019814e+001, 1.69773576e-002, -8.71733398e+001, 2.90472273e+000, -5.88303153e+001, 8.37230181e-004, 1.69567012e-002
9.54845500e+005, 6.08311005e+001, 1.64389596e-002, -8.69649506e+001, 3.22081431e+000, -6.07457747e+001, 8.70390898e-004, 1.64159012e-002
9.33038625e+005, 6.30261917e+001, 1.58664195e-002, -8.67123566e+001, 3.61447145e+000, -6.29224637e+001, 9.09918859e-004, 1.58403067e-002
9.11729875e+005, 6.55112686e+001, 1.52645495e-002, -8.61518936e+001, 4.39656906e+000, -6.53635716e+001, 1.02442904e-003, 1.52301351e-002
8.90907750e+005, 6.78752365e+001, 1.47329137e-002, -8.50198975e+001, 5.89223454e+000, -6.76190011e+001, 1.27896104e-003, 1.46772955e-002
8.70561188e+005, 7.00982513e+001, 1.42656911e-002, -8.27890167e+001, 8.79897183e+000, -6.95438203e+001, 1.79067825e-003, 1.41528589e-002
8.50679250e+005, 6.85346375e+001, 1.45911620e-002, -8.03382034e+001, 1.15023121e+001, -6.75625144e+001, 2.44886535e-003, 1.43841951e-002
8.31251375e+005, 6.57227325e+001, 1.52154355e-002, -8.14467010e+001, 9.77490069e+000, -6.49917602e+001, 2.26298216e-003, 1.50462085e-002
8.12267250e+005, 6.61477127e+001, 1.51176807e-002, -8.43127975e+001, 6.55507245e+000, -6.58221157e+001, 1.49812425e-003, 1.50432674e-002
7.93716688e+005, 6.92004471e+001, 1.44507737e-002, -8.59921570e+001, 4.83662866e+000, -6.90312168e+001, 1.01000830e-003, 1.44154342e-002
7.75589750e+005, 7.23940735e+001, 1.38132854e-002, -8.65726624e+001, 4.32791020e+000, -7.22645907e+001, 8.25794931e-004, 1.37885792e-002
7.57876750e+005, 7.52485199e+001, 1.32892979e-002, -8.66256180e+001, 4.42913063e+000, -7.51180574e+001, 7.82208562e-004, 1.32662575e-002
