Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/19/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:04:03 PM
Resonance    : F1:1.98453484e+005 F2:1.85164750e+005 Fr:1.89492344e+005 Zr:4.99912682e+001 Q:1.42596231e+001
Capacitance  : 3.94951975e-009 F at 2.42446055e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 6.20298119e+001, 1.61212806e-002, -8.74693604e+001, 2.73884166e+000, -6.19693175e+001, 7.11813136e-004, 1.61055583e-002
9.77161875e+005, 6.40599365e+001, 1.56103808e-002, -8.73491211e+001, 2.96277593e+000, -6.39913856e+001, 7.21981053e-004, 1.55936760e-002
9.54845500e+005, 6.63698883e+001, 1.50670737e-002, -8.73604584e+001, 3.05649254e+000, -6.62994715e+001, 6.93874882e-004, 1.50510879e-002
9.33038625e+005, 6.87631531e+001, 1.45426723e-002, -8.72397003e+001, 3.31147420e+000, -6.86833703e+001, 7.00341418e-004, 1.45257991e-002
9.11729875e+005, 7.14725037e+001, 1.39913946e-002, -8.68989563e+001, 3.86644820e+000, -7.13678454e+001, 7.56892505e-004, 1.39709068e-002
8.90907750e+005, 7.50097885e+001, 1.33315934e-002, -8.65579834e+001, 4.50346730e+000, -7.48744760e+001, 8.00407467e-004, 1.33075441e-002
8.70561188e+005, 7.87221527e+001, 1.27029047e-002, -8.52939072e+001, 6.45871892e+000, -7.84567542e+001, 1.04220334e-003, 1.26600789e-002
8.50679250e+005, 8.31520996e+001, 1.20261545e-002, -8.26672974e+001, 1.06127632e+001, -8.24720615e+001, 1.53490688e-003, 1.19278017e-002
8.31251375e+005, 8.55974121e+001, 1.16825962e-002, -7.41517792e+001, 2.33757943e+001, -8.23437259e+001, 3.19039978e-003, 1.12385232e-002
8.12267250e+005, 6.55204163e+001, 1.52624183e-002, -7.61389694e+001, 1.56965793e+001, -6.36124386e+001, 3.65638335e-003, 1.48179713e-002
7.93716688e+005, 7.01047287e+001, 1.42643730e-002, -8.38827820e+001, 7.47056152e+000, -6.97055500e+001, 1.52005261e-003, 1.41831512e-002
7.75589750e+005, 7.40497437e+001, 1.35044357e-002, -8.63529434e+001, 4.71031677e+000, -7.38997798e+001, 8.59019447e-004, 1.34770868e-002
7.57876750e+005, 7.84690475e+001, 1.27438784e-002, -8.73726883e+001, 3.59695612e+000, -7.83865634e+001, 5.84168827e-004, 1.27304825e-002
7.40568375e+005, 8.26182480e+001, 1.21038635e-002, -8.76012192e+001, 3.45793668e+000, -8.25458513e+001, 5.06599870e-004, 1.20932572e-002
7.23655313e+005, 8.61505127e+001, 1.16075920e-002, -8.77416534e+001, 3.39479351e+000, -8.60836001e+001, 4.57401549e-004, 1.15985764e-002
7.07128375e+005, 8.95449371e+001, 1.11675772e-002, -8.78379593e+001, 3.37815210e+000, -8.94811927e+001, 4.21305499e-004, 1.11596274e-002
6.90978938e+005, 9.36745071e+001, 1.06752630e-002, -8.78461838e+001, 3.52050642e+000, -9.36083293e+001, 4.01201277e-004, 1.06677213e-002
6.75198375e+005, 9.70523529e+001, 1.03037172e-002, -8.77663116e+001, 3.78264862e+000, -9.69786099e+001, 4.01590900e-004, 1.02958882e-002
6.59778188e+005, 1.01528198e+002, 9.84948041e-003, -8.76423264e+001, 4.17662195e+000, -1.01442254e+002, 4.05183553e-004, 9.84114275e-003
