Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/17/2021
Graph title  : Title
Points       : 300
Pen legend   : 12:44:52 PM
Resonance    : F1:1.98453484e+005 F2:1.85164750e+005 Fr:1.93921156e+005 Zr:8.26201172e+001 Q:1.45928988e+001
Capacitance  : 3.60300535e-009 F at 2.72133359e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 6.18192291e+001, 1.61761965e-002, -8.74254227e+001, 2.77690315e+000, -6.17568288e+001, 7.26630400e-004, 1.61598683e-002
9.77161875e+005, 6.34337311e+001, 1.57644834e-002, -8.73491211e+001, 2.93381390e+000, -6.33658502e+001, 7.29108309e-004, 1.57476137e-002
9.54845500e+005, 6.55112686e+001, 1.52645495e-002, -8.73604584e+001, 3.01695104e+000, -6.54417628e+001, 7.02969113e-004, 1.52483542e-002
9.33038625e+005, 6.78752365e+001, 1.47329137e-002, -8.73715363e+001, 3.11270793e+000, -6.78038257e+001, 6.75640477e-004, 1.47174133e-002
9.11729875e+005, 7.03245163e+001, 1.42197921e-002, -8.71186905e+001, 3.53501263e+000, -7.02356126e+001, 7.14788344e-004, 1.42018155e-002
8.90907750e+005, 7.35700226e+001, 1.35924928e-002, -8.66458664e+001, 4.30437927e+000, -7.34439960e+001, 7.95259293e-004, 1.35692086e-002
8.70561188e+005, 7.67176666e+001, 1.30348073e-002, -8.58212509e+001, 5.59028516e+000, -7.65137183e+001, 9.49824114e-004, 1.30001552e-002
8.50679250e+005, 8.12994995e+001, 1.23001987e-002, -8.38977737e+001, 8.64235686e+000, -8.08388415e+001, 1.30754442e-003, 1.22305035e-002
8.31251375e+005, 8.31543427e+001, 1.20258301e-002, -7.58217010e+001, 2.03678402e+001, -8.06213110e+001, 2.94560907e-003, 1.16595016e-002
8.12267250e+005, 6.67903137e+001, 1.49722309e-002, -7.89514694e+001, 1.27997213e+001, -6.55523695e+001, 2.86928407e-003, 1.46947238e-002
7.93716688e+005, 7.05515213e+001, 1.41740388e-002, -8.52890320e+001, 5.79434646e+000, -7.03131759e+001, 1.16410376e-003, 1.41261544e-002
7.75589750e+005, 7.54914093e+001, 1.32465404e-002, -8.69681702e+001, 3.99279516e+000, -7.53857444e+001, 7.00619086e-004, 1.32279993e-002
7.57876750e+005, 8.00000000e+001, 1.25000000e-002, -8.75484695e+001, 3.42193791e+000, -7.99267811e+001, 5.34677799e-004, 1.24885596e-002
7.40568375e+005, 8.31543427e+001, 1.20258301e-002, -8.76891098e+001, 3.35292516e+000, -8.30867173e+001, 4.84902017e-004, 1.20160501e-002
7.23655313e+005, 8.67120590e+001, 1.15324213e-002, -8.78295364e+001, 3.28401771e+000, -8.66498494e+001, 4.36763656e-004, 1.15241477e-002
7.07128375e+005, 9.01310577e+001, 1.10949547e-002, -8.77940063e+001, 3.46935539e+000, -9.00642612e+001, 4.27070776e-004, 1.10867321e-002
6.90978938e+005, 9.36848602e+001, 1.06740833e-002, -8.78022308e+001, 3.59271156e+000, -9.36159466e+001, 4.09339377e-004, 1.06662315e-002
6.75198375e+005, 9.73787918e+001, 1.02691765e-002, -8.78102570e+001, 3.72073873e+000, -9.73076831e+001, 3.92374171e-004, 1.02616777e-002
6.59778188e+005, 1.01872902e+002, 9.81615308e-003, -8.75544434e+001, 4.34692246e+000, -1.01780118e+002, 4.18855805e-004, 9.80721271e-003
6.44710188e+005, 1.06231400e+002, 9.41341265e-003, -8.75621033e+001, 4.51871055e+000, -1.06135251e+002, 4.00413505e-004, 9.40489270e-003
6.29986188e+005, 1.11492798e+002, 8.96918921e-003, -8.72619781e+001, 5.32593403e+000, -1.11365517e+002, 4.28451981e-004, 8.95894994e-003
6.15598563e+005, 1.18532898e+002, 8.43647643e-003, -8.66101227e+001, 7.00885138e+000, -1.18325500e+002, 4.98848932e-004, 8.42171505e-003
6.01539500e+005, 1.26832298e+002, 7.88442702e-003, -8.52989197e+001, 1.03948328e+001, -1.26405614e+002, 6.46186354e-004, 7.85790256e-003
5.87801563e+005, 1.37473602e+002, 7.27412378e-003, -8.21418533e+001, 1.87955234e+001, -1.36182670e+002, 9.94525213e-004, 7.20581685e-003
5.74377313e+005, 1.44282303e+002, 6.93085694e-003, -7.69631424e+001, 3.25468855e+001, -1.40563449e+002, 1.56344751e-003, 6.75221518e-003
5.61259688e+005, 1.55884598e+002, 6.41500196e-003, -7.08174667e+001, 5.12203642e+001, -1.47229352e+002, 2.10783324e-003, 6.05881912e-003
5.48441563e+005, 1.48528397e+002, 6.73271928e-003, -5.38611107e+001, 8.75938261e+001, -1.19950016e+002, 3.97058512e-003, 5.43727530e-003
5.35916250e+005, 8.64330673e+001, 1.15696461e-002, -4.36282310e+001, 6.25630183e+001, -5.96367660e+001, 8.37447985e-003, 7.98278135e-003
5.23677000e+005, 7.28621826e+001, 1.37245408e-002, -7.08366165e+001, 2.39179622e+001, -6.88246231e+001, 4.50525961e-003, 1.29640139e-002
5.11717250e+005, 8.67120590e+001, 1.15324213e-002, -8.20487595e+001, 1.19949068e+001, -8.58784221e+001, 1.59528353e-003, 1.14215504e-002
