Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/10/2021
Graph title  : Title
Points       : 300
Pen legend   : 12:54:51 PM
Resonance    : N/A
Capacitance  : 3.21090758e-010 F at 1.09678503e+003 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 8.15619189e+003, 1.22606237e-004, -8.40416336e+001, 8.46659803e+002, -8.11212878e+003, 1.27272352e-005, 1.21943868e-004
9.77161875e+005, 8.34227539e+003, 1.19871372e-004, -8.39213867e+001, 8.83387807e+002, -8.29537128e+003, 1.26935283e-005, 1.19197400e-004
9.54845500e+005, 8.53260352e+003, 1.17197523e-004, -8.39766693e+001, 8.95355279e+002, -8.48549714e+003, 1.22979371e-005, 1.16550505e-004
9.33038625e+005, 8.75544531e+003, 1.14214636e-004, -8.40316925e+001, 9.10376660e+002, -8.70798696e+003, 1.18758481e-005, 1.13595543e-004
9.11729875e+005, 8.92638672e+003, 1.12027412e-004, -8.40864563e+001, 9.19664771e+002, -8.87888487e+003, 1.15419225e-005, 1.11431257e-004
8.90907750e+005, 9.10066602e+003, 1.09882068e-004, -8.40970535e+001, 9.35946073e+002, -9.05241000e+003, 1.13006773e-005, 1.09299421e-004
8.70561188e+005, 9.30829785e+003, 1.07431027e-004, -8.41513290e+001, 9.48528401e+002, -9.25984356e+003, 1.09473700e-005, 1.06871796e-004
8.50679250e+005, 9.55139648e+003, 1.04696732e-004, -8.42493286e+001, 9.57047259e+002, -9.50332759e+003, 1.04905833e-005, 1.04169830e-004
8.31251375e+005, 9.76931152e+003, 1.02361359e-004, -8.43031464e+001, 9.69751751e+002, -9.72106111e+003, 1.01609112e-005, 1.01855798e-004
8.12267250e+005, 9.99219727e+003, 1.00078088e-004, -8.43127975e+001, 9.90201692e+002, -9.94301296e+003, 9.91748759e-006, 9.95854768e-005
7.93716688e+005, 1.02201699e+004, 9.78457313e-005, -8.43661804e+001, 1.00331744e+003, -1.01708027e+004, 9.60554760e-006, 9.73730999e-005
7.75589750e+005, 1.04533398e+004, 9.56632057e-005, -8.44193420e+001, 1.01655514e+003, -1.04037940e+004, 9.30295241e-006, 9.52097894e-005
7.57876750e+005, 1.06918301e+004, 9.35293577e-005, -8.44283524e+001, 1.03807414e+003, -1.06413172e+004, 9.08080346e-006, 9.30874845e-005
7.40568375e+005, 1.09710703e+004, 9.11488097e-005, -8.45250473e+001, 1.04675638e+003, -1.09210203e+004, 8.69656245e-006, 9.07329891e-005
7.23655313e+005, 1.12575898e+004, 8.88289602e-005, -8.45336533e+001, 1.07241017e+003, -1.12063940e+004, 8.46194268e-006, 8.84249947e-005
7.07128375e+005, 1.15144297e+004, 8.68475493e-005, -8.45860138e+001, 1.08640178e+003, -1.14630634e+004, 8.19418200e-006, 8.64601191e-005
6.90978938e+005, 1.17771299e+004, 8.49103313e-005, -8.46381683e+001, 1.10051491e+003, -1.17255983e+004, 7.93445319e-006, 8.45388006e-005
6.75198375e+005, 1.20458301e+004, 8.30162798e-005, -8.47340927e+001, 1.10554322e+003, -1.19949905e+004, 7.61907518e-006, 8.26659083e-005
6.59778188e+005, 1.23604199e+004, 8.09034002e-005, -8.47419434e+001, 1.13272919e+003, -1.23084079e+004, 7.41412050e-006, 8.05629629e-005
6.44710188e+005, 1.26424199e+004, 7.90987806e-005, -8.47935486e+001, 1.14723279e+003, -1.25902597e+004, 7.17779628e-006, 7.87724339e-005
6.29986188e+005, 1.29308604e+004, 7.73343747e-005, -8.48010406e+001, 1.17172334e+003, -1.28776634e+004, 7.00761509e-006, 7.70162246e-005
6.15598563e+005, 1.32685703e+004, 7.53660701e-005, -8.48083572e+001, 1.20063734e+003, -1.32141374e+004, 6.81967357e-006, 7.50568889e-005
