Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/10/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:24:18 PM
Resonance    : F1:2.93918781e+005 F2:2.50030578e+005 Fr:2.67974563e+005 Zr:1.15486298e+002 Q:6.10584493e+000
Capacitance  : 3.88555958e-009 F at 2.78493770e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.16273918e+001, 1.93695626e-002, -8.55797119e+001, 3.97903014e+000, -5.14738274e+001, 1.49285236e-003, 1.93119483e-002
9.77161875e+005, 5.21285896e+001, 1.91833312e-002, -8.60307617e+001, 3.60838676e+000, -5.20035518e+001, 1.32788703e-003, 1.91373173e-002
9.54845500e+005, 5.40083084e+001, 1.85156697e-002, -8.69649506e+001, 2.85956906e+000, -5.39325527e+001, 9.80346130e-004, 1.84896984e-002
9.33038625e+005, 5.59558105e+001, 1.78712450e-002, -8.70639191e+001, 2.86616039e+000, -5.58823573e+001, 9.15398314e-004, 1.78477854e-002
9.11729875e+005, 5.81605415e+001, 1.71937876e-002, -8.69429092e+001, 3.10175904e+000, -5.80777727e+001, 9.16961652e-004, 1.71693190e-002
8.90907750e+005, 6.04521408e+001, 1.65420114e-002, -8.66019287e+001, 3.58316586e+000, -6.03458553e+001, 9.80490842e-004, 1.65129276e-002
8.70561188e+005, 6.32400284e+001, 1.58127696e-002, -8.57333603e+001, 4.70493835e+000, -6.30647663e+001, 1.17644011e-003, 1.57689464e-002
8.50679250e+005, 6.63698883e+001, 1.50670737e-002, -8.35901489e+001, 7.40952057e+000, -6.59549928e+001, 1.68208499e-003, 1.49728855e-002
8.31251375e+005, 6.61564865e+001, 1.51156758e-002, -7.86342010e+001, 1.30376017e+001, -6.48590907e+001, 2.97887889e-003, 1.48192420e-002
8.12267250e+005, 5.96784096e+001, 1.67564787e-002, -7.83362427e+001, 1.20650554e+001, -5.84461035e+001, 3.38762117e-003, 1.64104723e-002
7.93716688e+005, 5.94865303e+001, 1.68105283e-002, -8.42343369e+001, 5.97602016e+000, -5.91855934e+001, 1.68878661e-003, 1.67254854e-002
7.75589750e+005, 6.30367012e+001, 1.58637743e-002, -8.65726624e+001, 3.76850161e+000, -6.29239549e+001, 9.48378608e-004, 1.58354006e-002
7.57876750e+005, 6.65839767e+001, 1.50186283e-002, -8.73726883e+001, 3.05215433e+000, -6.65139858e+001, 6.88441479e-004, 1.50028412e-002
7.40568375e+005, 6.96546631e+001, 1.43565406e-002, -8.75133286e+001, 3.02210551e+000, -6.95890722e+001, 6.22886948e-004, 1.43430217e-002
7.23655313e+005, 7.23991318e+001, 1.38123203e-002, -8.75658722e+001, 3.07484661e+000, -7.23338068e+001, 5.86619830e-004, 1.37998576e-002
