Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/14/2021
Graph title  : Title
Points       : 300
Pen legend   : 2:42:44 PM
Resonance    : F1:2.87206281e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.08539200e+002 Q:7.04369916e+000
Capacitance  : 4.04721322e-009 F at 2.42446055e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.03794212e+001, 1.98493745e-002, -8.71177979e+001, 2.53321354e+000, -5.03156925e+001, 9.98080230e-004, 1.98242655e-002
9.77161875e+005, 5.18567696e+001, 1.92838854e-002, -8.67778320e+001, 2.91475501e+000, -5.17747888e+001, 1.08390480e-003, 1.92533993e-002
9.54845500e+005, 5.37213783e+001, 1.86145633e-002, -8.63497162e+001, 3.42024577e+000, -5.36123904e+001, 1.18512189e-003, 1.85767988e-002
9.33038625e+005, 5.54746017e+001, 1.80262673e-002, -8.51303329e+001, 4.70920767e+000, -5.52743594e+001, 1.53023967e-003, 1.79611993e-002
9.11729875e+005, 5.54746017e+001, 1.80262673e-002, -8.46577530e+001, 5.16494944e+000, -5.52336377e+001, 1.67833128e-003, 1.79479669e-002
8.90907750e+005, 5.67357903e+001, 1.76255587e-002, -8.54154129e+001, 4.53493608e+000, -5.65542593e+001, 1.40882469e-003, 1.75691642e-002
8.70561188e+005, 5.87758293e+001, 1.70137965e-002, -8.59091415e+001, 4.19296785e+000, -5.86260789e+001, 1.21373535e-003, 1.69704484e-002
8.50679250e+005, 6.12815704e+001, 1.63181197e-002, -8.53919067e+001, 4.92334437e+000, -6.10834802e+001, 1.31099321e-003, 1.62653720e-002
8.31251375e+005, 6.38941307e+001, 1.56508898e-002, -8.36000214e+001, 7.12218685e+000, -6.34959400e+001, 1.74458218e-003, 1.55533529e-002
8.12267250e+005, 6.47201920e+001, 1.54511285e-002, -7.95227585e+001, 1.17690402e+001, -6.36411262e+001, 2.80970971e-003, 1.51935151e-002
7.93716688e+005, 5.80256500e+001, 1.72337578e-002, -8.00155869e+001, 1.00605024e+001, -5.71468490e+001, 2.98799345e-003, 1.69727518e-002
7.75589750e+005, 5.95357094e+001, 1.67966421e-002, -8.56058731e+001, 4.56143701e+000, -5.93607108e+001, 1.28690538e-003, 1.67472702e-002
7.57876750e+005, 6.32815208e+001, 1.58024015e-002, -8.71969070e+001, 3.09469972e+000, -6.32058044e+001, 7.72795706e-004, 1.57834939e-002
7.40568375e+005, 6.66180725e+001, 1.50109417e-002, -8.75572662e+001, 2.83931772e+000, -6.65575380e+001, 6.39778833e-004, 1.49973015e-002
7.23655313e+005, 6.94581528e+001, 1.43971580e-002, -8.77416534e+001, 2.73702476e+000, -6.94042051e+001, 5.67325452e-004, 1.43859758e-002
7.07128375e+005, 7.24192963e+001, 1.38084744e-002, -8.77500687e+001, 2.84308151e+000, -7.23634670e+001, 5.42101626e-004, 1.37978292e-002
6.90978938e+005, 7.57495575e+001, 1.32013972e-002, -8.77582932e+001, 2.96295789e+000, -7.56915870e+001, 5.16375084e-004, 1.31912943e-002
6.75198375e+005, 7.89789200e+001, 1.26616064e-002, -8.75026398e+001, 3.44137679e+000, -7.89039082e+001, 5.51708715e-004, 1.26495808e-002
6.59778188e+005, 8.28765564e+001, 1.20661384e-002, -8.73786469e+001, 3.79038285e+000, -8.27898339e+001, 5.51848268e-004, 1.20535123e-002
6.44710188e+005, 8.66876984e+001, 1.15356621e-002, -8.68150330e+001, 4.81632843e+000, -8.65537985e+001, 6.40916054e-004, 1.15178439e-002
6.29986188e+005, 9.18463898e+001, 1.08877442e-002, -8.58117828e+001, 6.70782644e+000, -9.16011156e+001, 7.95165697e-004, 1.08586687e-002
6.15598563e+005, 9.73120728e+001, 1.02762172e-002, -8.43249664e+001, 9.62281607e+000, -9.68351223e+001, 1.01617554e-003, 1.02258510e-002
6.01539500e+005, 1.03434601e+002, 9.66794469e-003, -8.15196228e+001, 1.52535711e+001, -1.02303691e+002, 1.42573840e-003, 9.56223952e-003
5.87801563e+005, 1.09942398e+002, 9.09567208e-003, -7.67365799e+001, 2.52239057e+001, -1.07009745e+002, 2.08680526e-003, 8.85305000e-003
5.74377313e+005, 1.05446999e+002, 9.48343730e-003, -6.75149002e+001, 4.03274831e+001, -9.74308145e+001, 3.62687571e-003, 8.76249712e-003
5.61259688e+005, 9.33330765e+001, 1.07143152e-002, -6.65987167e+001, 3.70689529e+001, -8.56560324e+001, 4.25538791e-003, 9.83301703e-003
5.48441563e+005, 8.47607117e+001, 1.17979189e-002, -6.55505676e+001, 3.50816089e+001, -7.71599570e+001, 4.88304035e-003, 1.07399631e-002
5.35916250e+005, 7.52645874e+001, 1.32864609e-002, -7.07424927e+001, 2.48233405e+001, -7.10532187e+001, 4.38206540e-003, 1.25430278e-002
5.23677000e+005, 7.72232895e+001, 1.29494613e-002, -7.84831009e+001, 1.54181664e+001, -7.56684649e+001, 2.58544995e-003, 1.26887350e-002
5.11717250e+005, 8.10342789e+001, 1.23404566e-002, -8.04667282e+001, 1.34209229e+001, -7.99151624e+001, 2.04383032e-003, 1.21700298e-002
5.00030563e+005, 8.36788635e+001, 1.19504491e-002, -8.34609604e+001, 9.52936381e+000, -8.31344900e+001, 1.36091926e-003, 1.18727054e-002
