Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/14/2021
Graph title  : Title
Points       : 300
Pen legend   : 2:58:37 PM
Resonance    : F1:2.87206281e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.08539200e+002 Q:7.04369916e+000
Capacitance  : 4.03444841e-009 F at 2.42446055e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.07040405e+001, 1.97222941e-002, -8.71617432e+001, 2.51069521e+000, -5.06418417e+001, 9.76582318e-004, 1.96981007e-002
9.77161875e+005, 5.23587914e+001, 1.90989894e-002, -8.67338867e+001, 2.98306689e+000, -5.22737443e+001, 1.08813747e-003, 1.90679667e-002
9.54845500e+005, 5.42414513e+001, 1.84360849e-002, -8.63497162e+001, 3.45335693e+000, -5.41314083e+001, 1.17375882e-003, 1.83986825e-002
9.33038625e+005, 5.56530418e+001, 1.79684698e-002, -8.51742706e+001, 4.68183007e+000, -5.54557619e+001, 1.51160331e-003, 1.79047748e-002
9.11729875e+005, 5.60116386e+001, 1.78534323e-002, -8.46138077e+001, 5.25772238e+000, -5.57643257e+001, 1.67587296e-003, 1.77746025e-002
8.90907750e+005, 5.71013603e+001, 1.75127176e-002, -8.53714600e+001, 4.60781868e+000, -5.69151417e+001, 1.41319624e-003, 1.74556053e-002
8.70561188e+005, 5.89648895e+001, 1.69592449e-002, -8.58651962e+001, 4.25156412e+000, -5.88114139e+001, 1.22281781e-003, 1.69151028e-002
8.50679250e+005, 6.18748207e+001, 1.61616630e-002, -8.53479614e+001, 5.01830845e+000, -6.16709820e+001, 1.31077891e-003, 1.61084204e-002
8.31251375e+005, 6.45126801e+001, 1.55008287e-002, -8.36879120e+001, 7.09278275e+000, -6.41215901e+001, 1.70422326e-003, 1.54068593e-002
8.12267250e+005, 6.53467331e+001, 1.53029838e-002, -7.95667038e+001, 1.18336854e+001, -6.42663163e+001, 2.77122799e-003, 1.50499704e-002
7.93716688e+005, 5.82122917e+001, 1.71785025e-002, -8.00155869e+001, 1.00928624e+001, -5.73306640e+001, 2.97841327e-003, 1.69183333e-002
7.75589750e+005, 5.99193306e+001, 1.66891050e-002, -8.55619202e+001, 4.63665792e+000, -5.97396651e+001, 1.29143083e-003, 1.66390634e-002
7.57876750e+005, 6.36892700e+001, 1.57012319e-002, -8.71969070e+001, 3.11464016e+000, -6.36130657e+001, 7.67848140e-004, 1.56824454e-002
7.40568375e+005, 6.68323593e+001, 1.49628116e-002, -8.75572662e+001, 2.84845080e+000, -6.67716300e+001, 6.37727489e-004, 1.49492152e-002
7.23655313e+005, 7.01305466e+001, 1.42591217e-002, -8.76977081e+001, 2.81726755e+000, -7.00739364e+001, 5.72814029e-004, 1.42476116e-002
7.07128375e+005, 7.28859329e+001, 1.37200686e-002, -8.77061234e+001, 2.91725988e+000, -7.28275278e+001, 5.49145825e-004, 1.37090744e-002
6.90978938e+005, 7.62376480e+001, 1.31168789e-002, -8.76703873e+001, 3.09892396e+000, -7.61746391e+001, 5.33177656e-004, 1.31060381e-002
6.75198375e+005, 7.97434998e+001, 1.25402071e-002, -8.75465927e+001, 3.41357607e+000, -7.96704039e+001, 5.36808027e-004, 1.25287123e-002
6.59778188e+005, 8.31431427e+001, 1.20274501e-002, -8.73786469e+001, 3.80257525e+000, -8.30561413e+001, 5.50078847e-004, 1.20148645e-002
6.44710188e+005, 8.75269089e+001, 1.14250579e-002, -8.68150330e+001, 4.86295458e+000, -8.73917127e+001, 6.34770932e-004, 1.14074105e-002
6.29986188e+005, 9.21418228e+001, 1.08528350e-002, -8.58117828e+001, 6.72940283e+000, -9.18957597e+001, 7.92616168e-004, 1.08238527e-002
6.15598563e+005, 9.76250763e+001, 1.02432698e-002, -8.43689117e+001, 9.57925445e+000, -9.71539675e+001, 1.00509922e-003, 1.01938390e-002
6.01539500e+005, 1.03767303e+002, 9.63694696e-003, -8.14756775e+001, 1.53813488e+001, -1.02620989e+002, 1.42847735e-003, 9.53048788e-003
5.87801563e+005, 1.10650803e+002, 9.03744009e-003, -7.66047363e+001, 2.56341936e+001, -1.07640551e+002, 2.09368105e-003, 8.79157683e-003
