Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/17/2021
Graph title  : Title
Points       : 300
Pen legend   : 2:17:39 PM
Resonance    : F1:2.87206281e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.14600800e+002 Q:7.04369916e+000
Capacitance  : 3.78191810e-009 F at 2.65918379e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.17062416e+001, 1.93400249e-002, -8.67222900e+001, 2.95633710e+000, -5.16216572e+001, 1.10577817e-003, 1.93083872e-002
9.77161875e+005, 5.30508995e+001, 1.88498218e-002, -8.62504883e+001, 3.46924370e+000, -5.29373430e+001, 1.23267703e-003, 1.88094734e-002
9.54845500e+005, 5.47810097e+001, 1.82545011e-002, -8.60860367e+001, 3.73926572e+000, -5.46532425e+001, 1.24602359e-003, 1.82119256e-002
9.33038625e+005, 5.58460503e+001, 1.79063693e-002, -8.57016068e+001, 4.18570406e+000, -5.56889685e+001, 1.34209604e-003, 1.78560029e-002
9.11729875e+005, 5.67493706e+001, 1.76213408e-002, -8.58442764e+001, 4.11248394e+000, -5.66001637e+001, 1.27697418e-003, 1.75750104e-002
8.90907750e+005, 5.86001015e+001, 1.70648169e-002, -8.59866867e+001, 4.10131953e+000, -5.84564032e+001, 1.19433695e-003, 1.70229708e-002
8.70561188e+005, 6.03172989e+001, 1.65789917e-002, -8.59530869e+001, 4.25678749e+000, -6.01669037e+001, 1.17003324e-003, 1.65376537e-002
8.50679250e+005, 6.24845886e+001, 1.60039463e-002, -8.57434692e+001, 4.63774111e+000, -6.23122393e+001, 1.18784746e-003, 1.59598031e-002
8.31251375e+005, 6.43156204e+001, 1.55483224e-002, -8.50502167e+001, 5.54931884e+000, -6.40757684e+001, 1.34154965e-003, 1.54903381e-002
8.12267250e+005, 6.59881973e+001, 1.51542252e-002, -8.31262665e+001, 7.89758029e+000, -6.55138948e+001, 1.81368358e-003, 1.50453013e-002
7.93716688e+005, 6.39041405e+001, 1.56484383e-002, -8.08945007e+001, 1.01130116e+001, -6.30988603e+001, 2.47640979e-003, 1.54512464e-002
7.75589750e+005, 6.22843895e+001, 1.60553874e-002, -8.51224670e+001, 5.29580657e+000, -6.20588399e+001, 1.36512899e-003, 1.59972462e-002
7.57876750e+005, 6.59881973e+001, 1.51542252e-002, -8.69771805e+001, 3.47980061e+000, -6.58963821e+001, 7.99138090e-004, 1.51331397e-002
7.40568375e+005, 6.92424164e+001, 1.44420148e-002, -8.74254379e+001, 3.11033231e+000, -6.91725239e+001, 6.48727579e-004, 1.44274372e-002
7.23655313e+005, 7.21922684e+001, 1.38518989e-002, -8.74779816e+001, 3.17669895e+000, -7.21223419e+001, 6.09529435e-004, 1.38384817e-002
7.07128375e+005, 7.52677765e+001, 1.32858980e-002, -8.73985138e+001, 3.41632163e+000, -7.51902050e+001, 6.03032303e-004, 1.32722054e-002
6.90978938e+005, 7.82228928e+001, 1.27839813e-002, -8.71869965e+001, 3.83890206e+000, -7.81286361e+001, 6.27392448e-004, 1.27685769e-002
