Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 6/1/2021
Graph title  : Title
Points       : 300
Pen legend   : 4:42:36 PM
Resonance    : F1:2.74237563e+005 F2:2.55874281e+005 Fr:2.67974563e+005 Zr:1.07153801e+002 Q:1.45929564e+001
Capacitance  : 4.08367428e-009 F at 2.21045020e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.07040405e+001, 1.97222941e-002, -8.71617432e+001, 2.51069521e+000, -5.06418417e+001, 9.76582318e-004, 1.96981007e-002
9.77161875e+005, 5.20235710e+001, 1.92220561e-002, -8.66460037e+001, 3.04363129e+000, -5.19344611e+001, 1.12458353e-003, 1.91891311e-002
9.54845500e+005, 5.37213783e+001, 1.86145633e-002, -8.62618332e+001, 3.50247495e+000, -5.36070812e+001, 1.21361447e-003, 1.85749592e-002
9.33038625e+005, 5.52967300e+001, 1.80842520e-002, -8.56576691e+001, 4.18681629e+000, -5.51379989e+001, 1.36925711e-003, 1.80323405e-002
9.11729875e+005, 5.60116386e+001, 1.78534323e-002, -8.52290421e+001, 4.65864095e+000, -5.58175665e+001, 1.48491872e-003, 1.77915728e-002
8.90907750e+005, 5.72850304e+001, 1.74565675e-002, -8.55033035e+001, 4.49123895e+000, -5.71086988e+001, 1.36862310e-003, 1.74028337e-002
8.70561188e+005, 5.91545486e+001, 1.69048708e-002, -8.56894073e+001, 4.44623818e+000, -5.89872155e+001, 1.27062218e-003, 1.68570512e-002
8.50679250e+005, 6.22735100e+001, 1.60581923e-002, -8.50403366e+001, 5.38381854e+000, -6.20403461e+001, 1.38830128e-003, 1.59980674e-002
8.31251375e+005, 6.47201920e+001, 1.54511285e-002, -8.30287323e+001, 7.85519278e+000, -6.42417247e+001, 1.87532807e-003, 1.53369004e-002
8.12267250e+005, 6.36892700e+001, 1.57012319e-002, -7.80286179e+001, 1.32106261e+001, -6.23041128e+001, 3.25679826e-003, 1.53597509e-002
7.93716688e+005, 5.71013603e+001, 1.75127176e-002, -8.12460632e+001, 8.69033001e+000, -5.64361898e+001, 2.66528319e-003, 1.73087130e-002
7.75589750e+005, 6.01120682e+001, 1.66355947e-002, -8.60453186e+001, 4.14577425e+000, -5.99689361e+001, 1.14731404e-003, 1.65959839e-002
7.57876750e+005, 6.38941307e+001, 1.56508898e-002, -8.73287430e+001, 2.97780782e+000, -6.38247021e+001, 7.29415074e-004, 1.56338833e-002
7.40568375e+005, 6.68323593e+001, 1.49628116e-002, -8.76012192e+001, 2.79722788e+000, -6.67737955e+001, 6.26259407e-004, 1.49497000e-002
7.23655313e+005, 6.99057007e+001, 1.43049850e-002, -8.76977081e+001, 2.80823510e+000, -6.98492720e+001, 5.74656438e-004, 1.42934379e-002
7.07128375e+005, 7.26522369e+001, 1.37642011e-002, -8.76621780e+001, 2.96358426e+000, -7.25917674e+001, 5.61460616e-004, 1.37527450e-002
6.90978938e+005, 7.59932098e+001, 1.31590704e-002, -8.77143402e+001, 3.03073908e+000, -7.59327503e+001, 5.24806218e-004, 1.31486012e-002
6.75198375e+005, 7.92329636e+001, 1.26210097e-002, -8.76344833e+001, 3.27028719e+000, -7.91654453e+001, 5.20923672e-004, 1.26102547e-002
6.59778188e+005, 8.28765564e+001, 1.20661384e-002, -8.73786469e+001, 3.79038285e+000, -8.27898339e+001, 5.51848268e-004, 1.20535123e-002
6.44710188e+005, 8.69665375e+001, 1.14986756e-002, -8.67271423e+001, 4.96501380e+000, -8.68246928e+001, 6.56471841e-004, 1.14799209e-002
6.29986188e+005, 9.12583694e+001, 1.09578991e-002, -8.58996735e+001, 6.52525895e+000, -9.10247823e+001, 7.83524068e-004, 1.09298509e-002
6.15598563e+005, 9.70000610e+001, 1.03092719e-002, -8.45007477e+001, 9.29578387e+000, -9.65536133e+001, 9.87966008e-004, 1.02618229e-002
6.01539500e+005, 1.03767303e+002, 9.63694696e-003, -8.18272400e+001, 1.47513887e+001, -1.02713435e+002, 1.36997249e-003, 9.53907344e-003
5.87801563e+005, 1.10296097e+002, 9.06650397e-003, -7.52863770e+001, 2.80138764e+001, -1.06679200e+002, 2.30278250e-003, 8.76918965e-003
5.74377313e+005, 9.76250763e+001, 1.02432698e-002, -6.97121735e+001, 3.38501649e+001, -9.15686729e+001, 3.55171424e-003, 9.60780428e-003
5.61259688e+005, 9.54549637e+001, 1.04761446e-002, -7.06856384e+001, 3.15718201e+001, -9.00825747e+001, 3.46499480e-003, 9.88652701e-003
5.48441563e+005, 8.66876984e+001, 1.15356621e-002, -6.48474426e+001, 3.68448656e+001, -7.84679101e+001, 4.90300158e-003, 1.04418426e-002
5.35916250e+005, 7.69756927e+001, 1.29911140e-002, -7.20608521e+001, 2.37090316e+001, -7.32334561e+001, 4.00135058e-003, 1.23595403e-002
5.23677000e+005, 8.02573166e+001, 1.24599232e-002, -7.58463821e+001, 1.96247212e+001, -7.78209945e+001, 3.04673181e-003, 1.20816849e-002
5.11717250e+005, 7.92329636e+001, 1.26210097e-002, -8.05106735e+001, 1.30626530e+001, -7.81487659e+001, 2.08074850e-003, 1.24483080e-002
5.00030563e+005, 8.42180481e+001, 1.18739394e-002, -8.42080307e+001, 8.49902026e+000, -8.37881034e+001, 1.19828058e-003, 1.18133213e-002
4.88610875e+005, 9.03833771e+001, 1.10639814e-002, -8.60156097e+001, 6.28026125e+000, -9.01649221e+001, 7.68777354e-004, 1.10372399e-002
4.77451969e+005, 9.54549637e+001, 1.04761446e-002, -8.68562469e+001, 5.23487568e+000, -9.53113119e+001, 5.74525539e-004, 1.04603788e-002
4.66547844e+005, 1.00811096e+002, 9.91954296e-003, -8.72133713e+001, 4.90110023e+000, -1.00691888e+002, 4.82255189e-004, 9.90781321e-003
4.55892875e+005, 1.05786201e+002, 9.45302871e-003, -8.75264130e+001, 4.56560851e+000, -1.05687632e+002, 4.07981643e-004, 9.44422060e-003
4.45481188e+005, 1.09942398e+002, 9.09567208e-003, -8.75317230e+001, 4.73480532e+000, -1.09840396e+002, 3.91716365e-004, 9.08723329e-003
4.35307250e+005, 1.14998199e+002, 8.69578832e-003, -8.74050674e+001, 5.20650155e+000, -1.14880278e+002, 3.93698646e-004, 8.68687147e-003
4.25365688e+005, 1.19133202e+002, 8.39396563e-003, -8.71464615e+001, 5.93081486e+000, -1.18985483e+002, 4.17877262e-004, 8.38355758e-003
4.15651156e+005, 1.23813797e+002, 8.07664432e-003, -8.71953506e+001, 6.05831052e+000, -1.23665489e+002, 3.95196823e-004, 8.06696987e-003
4.06158438e+005, 1.29092300e+002, 7.74639538e-003, -8.72880783e+001, 6.10791073e+000, -1.28947724e+002, 3.66515209e-004, 7.73771982e-003
3.96882656e+005, 1.35028702e+002, 7.40583288e-003, -8.69412537e+001, 7.20510998e+000, -1.34836333e+002, 3.95174061e-004, 7.39528216e-003
3.87818688e+005, 1.40785294e+002, 7.10301463e-003, -8.63745728e+001, 8.90233655e+000, -1.40503549e+002, 4.49147956e-004, 7.08879982e-003
3.78961563e+005, 1.46316605e+002, 6.83449430e-003, -8.51046829e+001, 1.24859990e+001, -1.45782882e+002, 5.83224914e-004, 6.80956394e-003
3.70306844e+005, 1.50124405e+002, 6.66114214e-003, -8.40104523e+001, 1.56650364e+001, -1.49304868e+002, 6.95070428e-004, 6.62477862e-003
3.61849781e+005, 1.54526703e+002, 6.47137343e-003, -8.37510910e+001, 1.68199143e+001, -1.53608569e+002, 7.04395709e-004, 6.43292319e-003
3.53585906e+005, 1.56524506e+002, 6.38877597e-003, -8.44584274e+001, 1.51152530e+001, -1.55792972e+002, 6.16951094e-004, 6.35891734e-003
3.45510656e+005, 1.63722397e+002, 6.10789983e-003, -8.51656570e+001, 1.37977253e+001, -1.63139958e+002, 5.14744014e-004, 6.08617112e-003
3.37619844e+005, 1.79126404e+002, 5.58264990e-003, -8.56091385e+001, 1.37139176e+001, -1.78600664e+002, 4.27407679e-004, 5.56626469e-003
3.29909250e+005, 1.97876999e+002, 5.05364446e-003, -8.34597473e+001, 2.25384299e+001, -1.96589231e+002, 5.75616228e-004, 5.02075575e-003
3.22374750e+005, 2.11003403e+002, 4.73926006e-003, -7.91129990e+001, 3.98527732e+001, -2.07205677e+002, 8.95116638e-004, 4.65396091e-003
3.15012406e+005, 2.26450302e+002, 4.41597998e-003, -7.36675262e+001, 6.36802381e+001, -2.17312141e+002, 1.24182063e-003, 4.23777780e-003
3.07818188e+005, 2.36104294e+002, 4.23541641e-003, -6.62005005e+001, 9.52768902e+001, -2.16026739e+002, 1.70914852e-003, 3.87525012e-003
3.00788156e+005, 2.03679703e+002, 4.90966938e-003, -6.26445084e+001, 9.35928552e+001, -1.80902733e+002, 2.25604206e-003, 4.36063386e-003
2.93918781e+005, 2.19998901e+002, 4.54547724e-003, -6.01870804e+001, 1.09376770e+002, -1.90882788e+002, 2.25987320e-003, 3.94389864e-003
2.87206281e+005, 2.55021500e+002, 3.92123802e-003, -5.06543617e+001, 1.61682882e+002, -1.97217167e+002, 2.48605339e-003, 3.03243238e-003
2.80646969e+005, 1.74583099e+002, 5.72793130e-003, -2.80258694e+001, 1.54110705e+002, -8.20313907e+001, 5.05624850e-003, 2.69138406e-003
2.74237563e+005, 1.52065308e+002, 6.57612190e-003, -5.49676094e+001, 8.72914825e+001, -1.24515280e+002, 3.77495327e-003, 5.38471049e-003
