Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 6/1/2021
Graph title  : Title
Points       : 300
Pen legend   : 4:51:17 PM
Resonance    : F1:2.74237563e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.05108902e+002 Q:1.08173106e+001
Capacitance  : 3.81989379e-009 F at 2.42446055e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.38941803e+001, 1.85548791e-002, -8.61949463e+001, 3.57652075e+000, -5.37753770e+001, 1.23133722e-003, 1.85139771e-002
9.77161875e+005, 5.52967300e+001, 1.80842520e-002, -8.55913086e+001, 4.25067478e+000, -5.51331127e+001, 1.39014140e-003, 1.80307425e-002
9.54845500e+005, 5.71013603e+001, 1.75127176e-002, -8.51631927e+001, 4.81467140e+000, -5.68980166e+001, 1.47663699e-003, 1.74503531e-002
9.33038625e+005, 5.80256500e+001, 1.72337578e-002, -8.45150909e+001, 5.54629908e+000, -5.77599743e+001, 1.64726419e-003, 1.71548515e-002
9.11729875e+005, 5.91545486e+001, 1.69048708e-002, -8.44819717e+001, 5.68823938e+000, -5.88804259e+001, 1.62555465e-003, 1.68265334e-002
8.90907750e+005, 6.08892288e+001, 1.64232660e-002, -8.47562332e+001, 5.56486660e+000, -6.06343999e+001, 1.50097622e-003, 1.63545326e-002
8.70561188e+005, 6.32815208e+001, 1.58024015e-002, -8.47226181e+001, 5.82047657e+000, -6.30132758e+001, 1.45346550e-003, 1.57354165e-002
8.50679250e+005, 6.59793396e+001, 1.51562596e-002, -8.43372192e+001, 6.51040197e+000, -6.56573524e+001, 1.49551880e-003, 1.50822952e-002
8.31251375e+005, 6.87921829e+001, 1.45365354e-002, -8.25453262e+001, 8.92522352e+000, -6.82107383e+001, 1.88599666e-003, 1.44136698e-002
8.12267250e+005, 6.99057007e+001, 1.43049850e-002, -7.83801804e+001, 1.40801799e+001, -6.84730277e+001, 2.88126376e-003, 1.40118134e-002
