Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 5/10/2021
Graph title  : Title
Points       : 300
Pen legend   : 1:29:44 PM
Resonance    : F1:2.87206281e+005 F2:2.55874281e+005 Fr:2.74237563e+005 Zr:1.10395203e+002 Q:8.75263509e+000
Capacitance  : 3.99296369e-009 F at 1.75447461e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.21285896e+001, 1.91833312e-002, -8.61070633e+001, 3.53912974e+000, -5.20083110e+001, 1.30240044e-003, 1.91390687e-002
9.77161875e+005, 5.33170586e+001, 1.87557233e-002, -8.59428711e+001, 3.77224041e+000, -5.31834461e+001, 1.32698801e-003, 1.87087215e-002
9.54845500e+005, 5.45326309e+001, 1.83376445e-002, -8.57784271e+001, 4.01434865e+000, -5.43846747e+001, 1.34990183e-003, 1.82878914e-002
9.33038625e+005, 5.61363106e+001, 1.78137820e-002, -8.57016068e+001, 4.20745929e+000, -5.59784124e+001, 1.33515655e-003, 1.77636761e-002
9.11729875e+005, 5.76013489e+001, 1.73607046e-002, -8.53608780e+001, 4.65876911e+000, -5.74126403e+001, 1.40412535e-003, 1.73038289e-002
8.90907750e+005, 5.87251701e+001, 1.70284734e-002, -8.56351318e+001, 4.46943497e+000, -5.85548440e+001, 1.29599718e-003, 1.69790842e-002
8.70561188e+005, 6.10390091e+001, 1.63829658e-002, -8.55575790e+001, 4.72791137e+000, -6.08556282e+001, 1.26897883e-003, 1.63337461e-002
8.50679250e+005, 6.30367012e+001, 1.58637743e-002, -8.47327271e+001, 5.78688388e+000, -6.27705160e+001, 1.45632335e-003, 1.57967863e-002
8.31251375e+005, 6.44738617e+001, 1.55101614e-002, -8.36439667e+001, 7.13766387e+000, -6.40775514e+001, 1.71707287e-003, 1.54148230e-002
8.12267250e+005, 6.50997772e+001, 1.53610357e-002, -8.25110397e+001, 8.48478978e+000, -6.45444756e+001, 2.00208302e-003, 1.52300059e-002
7.93716688e+005, 6.36486588e+001, 1.57112502e-002, -8.19052429e+001, 8.96240825e+000, -6.30144983e+001, 2.21231116e-003, 1.55547119e-002
7.75589750e+005, 6.28340302e+001, 1.59149429e-002, -8.48148499e+001, 5.67859186e+000, -6.25769042e+001, 1.43830445e-003, 1.58498166e-002
7.57876750e+005, 6.61564865e+001, 1.51156758e-002, -8.68013992e+001, 3.69134154e+000, -6.60534231e+001, 8.43411203e-004, 1.50921275e-002
7.40568375e+005, 6.96546631e+001, 1.43565406e-002, -8.74693832e+001, 3.07547876e+000, -6.95867338e+001, 6.33887723e-004, 1.43425397e-002
7.23655313e+005, 7.26326599e+001, 1.37679110e-002, -8.76098175e+001, 3.02910554e+000, -7.25694688e+001, 5.74183235e-004, 1.37559328e-002
7.07128375e+005, 7.59822769e+001, 1.31609639e-002, -8.75303421e+001, 3.27410030e+000, -7.59117031e+001, 5.67110088e-004, 1.31487397e-002
6.90978938e+005, 7.94863892e+001, 1.25807702e-002, -8.74506683e+001, 3.53551895e+000, -7.94077211e+001, 5.59587019e-004, 1.25683190e-002
6.75198375e+005, 8.26182480e+001, 1.21038635e-002, -8.72829132e+001, 3.91646338e+000, -8.25253671e+001, 5.73775643e-004, 1.20902562e-002
6.59778188e+005, 8.67071686e+001, 1.15330718e-002, -8.68952637e+001, 4.69617786e+000, -8.65798995e+001, 6.24646811e-004, 1.15161435e-002
6.44710188e+005, 9.09984589e+001, 1.09891971e-002, -8.60679626e+001, 6.24005028e+000, -9.07842568e+001, 7.53563778e-004, 1.09633295e-002
6.29986188e+005, 9.64292679e+001, 1.03702955e-002, -8.53283768e+001, 7.85367169e+000, -9.61089150e+001, 8.44607635e-004, 1.03358438e-002
6.15598563e+005, 1.01855598e+002, 9.81782067e-003, -8.32263336e+001, 1.20136214e+001, -1.01144628e+002, 1.15798819e-003, 9.74929054e-003
6.01539500e+005, 1.08631798e+002, 9.20540781e-003, -7.95860291e+001, 1.96361722e+001, -1.06842352e+002, 1.66396006e-003, 9.05377103e-003
