Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 6/1/2021
Graph title  : Title
Points       : 300
Pen legend   : 4:57:57 PM
Resonance    : F1:2.80646969e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.14572098e+002 Q:8.55275437e+000
Capacitance  : 3.94858177e-009 F at 2.42446055e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.23897095e+001, 1.90877180e-002, -8.70738525e+001, 2.67442707e+000, -5.23214019e+001, 9.74403373e-004, 1.90628307e-002
9.77161875e+005, 5.40970497e+001, 1.84852964e-002, -8.66020508e+001, 3.20636696e+000, -5.40019444e+001, 1.09563542e-003, 1.84527984e-002
9.54845500e+005, 5.58600311e+001, 1.79018876e-002, -8.62618332e+001, 3.64190879e+000, -5.57411839e+001, 1.16715012e-003, 1.78637997e-002
9.33038625e+005, 5.73116913e+001, 1.74484469e-002, -8.54818878e+001, 4.51468461e+000, -5.71335942e+001, 1.37448805e-003, 1.73942255e-002
9.11729875e+005, 5.80516090e+001, 1.72260514e-002, -8.47016983e+001, 5.36054788e+000, -5.78035798e+001, 1.59067207e-003, 1.71524520e-002
8.90907750e+005, 5.88010712e+001, 1.70064929e-002, -8.49320068e+001, 5.19436138e+000, -5.85711924e+001, 1.50231736e-003, 1.69400072e-002
8.70561188e+005, 6.07173500e+001, 1.64697570e-002, -8.57773132e+001, 4.47080590e+000, -6.05525267e+001, 1.21271905e-003, 1.64250482e-002
8.50679250e+005, 6.41194382e+001, 1.55958946e-002, -8.53919067e+001, 5.15133788e+000, -6.39121747e+001, 1.25296985e-003, 1.55454815e-002
8.31251375e+005, 6.68490982e+001, 1.49590649e-002, -8.32923965e+001, 7.80814414e+000, -6.63915267e+001, 1.74725671e-003, 1.48566725e-002
8.12267250e+005, 6.70638275e+001, 1.49111680e-002, -7.89075165e+001, 1.29026265e+001, -6.58109352e+001, 2.86880780e-003, 1.46325963e-002
7.93716688e+005, 5.97515297e+001, 1.67359732e-002, -8.01034927e+001, 1.02694385e+001, -5.88624153e+001, 2.87639578e-003, 1.64869387e-002
7.75589750e+005, 6.15012398e+001, 1.62598348e-002, -8.56058731e+001, 4.71202971e+000, -6.13204637e+001, 1.24577692e-003, 1.62120408e-002
