Exported from: CypherGraph V1.28.0
Acquired by  : CypherGraph V1.28.0 | C60-0504-0552 V1.23.10 : 6/1/2021
Graph title  : Title
Points       : 300
Pen legend   : 5:16:05 PM
Resonance    : F1:2.87206281e+005 F2:2.50030578e+005 Fr:2.61854469e+005 Zr:1.34067596e+002 Q:7.04369916e+000
Capacitance  : 3.69141991e-009 F at 2.42446055e+004 Hz
Frequency (Hz), Impedance (Ohms), Admittance (S), Phase angle (Degrees), Resistance (Ohms), Reactance (S), Conductance (S), Susceptance (S)
9.99999875e+005, 5.62194595e+001, 1.77874353e-002, -8.57994385e+001, 4.11796135e+000, -5.60684405e+001, 1.30289355e-003, 1.77396540e-002
9.77161875e+005, 5.73116913e+001, 1.74484469e-002, -8.46684570e+001, 5.32533062e+000, -5.70637434e+001, 1.62128784e-003, 1.73729596e-002
9.54845500e+005, 5.84251404e+001, 1.71159195e-002, -8.38887787e+001, 6.21987088e+000, -5.80931169e+001, 1.82214041e-003, 1.70186517e-002
9.33038625e+005, 5.88010712e+001, 1.70064929e-002, -8.39438019e+001, 6.20374127e+000, -5.84728960e+001, 1.79425102e-003, 1.69115778e-002
9.11729875e+005, 5.99434586e+001, 1.66823874e-002, -8.42622528e+001, 5.99286426e+000, -5.96431371e+001, 1.66782641e-003, 1.65988074e-002
8.90907750e+005, 6.15012398e+001, 1.62598348e-002, -8.43607178e+001, 6.04343217e+000, -6.12035899e+001, 1.59777606e-003, 1.61811415e-002
8.70561188e+005, 6.33021812e+001, 1.57972440e-002, -8.47226181e+001, 5.82237686e+000, -6.30338487e+001, 1.45299113e-003, 1.57302808e-002
8.50679250e+005, 6.57857437e+001, 1.52008618e-002, -8.40735474e+001, 6.79249420e+000, -6.54341356e+001, 1.56951582e-003, 1.51196171e-002
8.31251375e+005, 6.70638275e+001, 1.49111680e-002, -8.28968964e+001, 8.29279301e+000, -6.65491288e+001, 1.84384391e-003, 1.47967284e-002
8.12267250e+005, 6.79296417e+001, 1.47211140e-002, -8.14563522e+001, 1.00918176e+001, -6.71758248e+001, 2.18700988e-003, 1.45577534e-002
7.93716688e+005, 6.53651505e+001, 1.52986720e-002, -8.10702820e+001, 1.01461615e+001, -6.45728914e+001, 2.37470268e-003, 1.51132443e-002
7.75589750e+005, 6.53651505e+001, 1.52986720e-002, -8.47708969e+001, 5.95727671e+000, -6.50931160e+001, 1.39429684e-003, 1.52350025e-002
7.57876750e+005, 6.90276566e+001, 1.44869470e-002, -8.64498367e+001, 4.27435797e+000, -6.88951902e+001, 8.97066485e-004, 1.44591460e-002
7.40568375e+005, 7.21974335e+001, 1.38509079e-002, -8.68541489e+001, 3.96204193e+000, -7.20886373e+001, 7.60108430e-004, 1.38300356e-002
7.23655313e+005, 7.55127563e+001, 1.32427956e-002, -8.69945831e+001, 3.95916165e+000, -7.54088948e+001, 6.94324657e-004, 1.32245813e-002
7.07128375e+005, 7.84753799e+001, 1.27428501e-002, -8.67832718e+001, 4.40348976e+000, -7.83517360e+001, 7.15039669e-004, 1.27227727e-002
6.90978938e+005, 8.10328293e+001, 1.23406773e-002, -8.68354263e+001, 4.47334865e+000, -8.09092614e+001, 6.81256632e-004, 1.23218589e-002
6.75198375e+005, 8.50261230e+001, 1.17610913e-002, -8.66676788e+001, 4.94232988e+000, -8.48823596e+001, 6.83639228e-004, 1.17412055e-002
6.59778188e+005, 8.80790710e+001, 1.13534349e-002, -8.58405685e+001, 6.38855344e+000, -8.78470782e+001, 8.23487632e-004, 1.13235309e-002
6.44710188e+005, 9.06582870e+001, 1.10304312e-002, -8.55845566e+001, 6.97957930e+000, -9.03892166e+001, 8.49208296e-004, 1.09976933e-002
6.29986188e+005, 9.48213501e+001, 1.05461481e-002, -8.50647125e+001, 8.15753183e+000, -9.44698000e+001, 9.07290801e-004, 1.05070482e-002
6.15598563e+005, 9.91755829e+001, 1.00831270e-002, -8.41052399e+001, 1.01854879e+001, -9.86511636e+001, 1.03555295e-003, 1.00298096e-002
